ds,cpu_pct_yhat,cpu_pct_lower,cpu_pct_upper,memory_pct_yhat,memory_pct_lower,memory_pct_upper,disk_pct_yhat,disk_pct_lower,disk_pct_upper,disk_read_bytes_yhat,disk_read_bytes_lower,disk_read_bytes_upper,disk_write_bytes_yhat,disk_write_bytes_lower,disk_write_bytes_upper
2026-08-29,5.473821978995854,4.375380289100683,6.572263668891026,83.89462708859108,80.47866199219216,87.31059218499,65.42115297734317,64.83815287743556,66.00415307725078,112727.35784698799,106281.7013934423,119173.01430053367,10392.599460861227,2578.537693283757,18206.661228438697
2026-08-30,0.5946126740732857,0.0,1.7201804656366146,84.4632836627751,80.96296104667148,87.96360627887871,65.4603822084739,64.86298487644362,66.05777954050419,1507.848016692522,0.0,8112.680450069765,6520.894367928794,0.0,14527.92498938215
2026-08-31,0.7267607233887249,0.0,1.878816086949755,84.91674661950348,81.3340522013599,88.49944103764707,65.37422797745941,64.76277231419222,65.9856836407266,186.4949539162626,0.0,6946.756474660021,7806.5763534423295,0.0,16002.033475425675
2026-09-01,0.6528744110965545,0.0,1.8308218921052475,84.9134935790029,81.25027912025386,88.57670803775194,65.32249544661197,64.69729749078827,65.94769340243566,356.8290472856661,0.0,7269.025527761714,8651.436118314143,271.7884226384267,17031.08381398986
2026-09-02,0.5496845899072033,0.0,1.7529671732265633,84.60405520019812,80.86205292230213,88.34605747809411,65.33576295929223,64.6971183477979,65.97440757078655,24.981637962140667,0.0,7085.844513033588,7390.843905069357,0.0,15950.719696751097
2026-09-03,0.7038742810532324,0.0,1.9319694250159065,84.43155911717764,80.61239403502034,88.25072419933494,65.30922241424855,64.65740848710726,65.96103634138984,924.1470821137773,0.0,8130.610076982965,6892.728447668919,0.0,15629.115094011613
2026-09-04,0.798996746664607,0.0,2.05141296738745,84.31873781089963,80.42393835498918,88.21353726681009,65.2688441499715,64.6041217632265,65.9335665367165,1561.978337828632,0.0,8911.157424793091,6693.215704567212,0.0,15602.616902165777
2026-09-05,5.4273805004727755,4.151106588949595,6.703654411995956,84.09336490489717,80.12437212602353,88.06235768377081,65.21999712791637,64.54261222458254,65.8973820312502,112795.80333910069,105306.62730911364,120284.97936908774,10064.059421923619,984.9400943045293,19143.17874954271
2026-09-06,0.5481711955502074,0.0,1.8478649304507284,84.66202147908119,80.62019706976528,88.7038458883971,65.25922635904709,64.56941133812539,65.94904137996879,1576.2935088052182,0.0,9202.897075530662,6192.354328991185,0.0,15438.076898402529
2026-09-07,0.6803192448656467,0.0,2.003018194681762,85.11548443580958,81.00211775719549,89.22885111442366,65.17307212803262,64.47104704378432,65.8750972122809,254.94044602895883,0.0,8016.538626806294,7478.0363145047195,0.0,16887.41269638562
